customer_id,gender,is_senior_citizen,partner,dependents,phone_service,phone_service_name,internet_service,internet_service_name,contract_type,contract_name,payment_type,monthly_charges,total_charges,tenure,total_charges2,total_charges_match,churn,is_female,has_churned,has_phone,has_internet,has_phone_and_internet,partner_dependents,partner_dependents,service_type,tenure_months,tenure_years
1371-DWPAZ,Female,0,Yes,Yes,0,No Phone Service,1,DSL,2,2 Year,Credit card (automatic),56.05,,0,#DIV/0!,#DIV/0!,No,TRUE,FALSE,FALSE,TRUE,FALSE,3,3,Internet,0,< 1 year
2520-SGTTA,Female,0,Yes,Yes,1,One Line,0,No Internet Service,2,2 Year,Mailed check,20,,0,#DIV/0!,#DIV/0!,No,TRUE,FALSE,TRUE,FALSE,FALSE,3,3,Phone,0,< 1 year
2775-SEFEE,Male,0,No,Yes,2,Two or More Lines,1,DSL,2,2 Year,Bank transfer (automatic),61.9,,0,#DIV/0!,#DIV/0!,No,FALSE,FALSE,TRUE,TRUE,TRUE,2,2,Phone and Internet,0,< 1 year
2923-ARZLG,Male,0,Yes,Yes,1,One Line,0,No Internet Service,1,1 Year,Mailed check,19.7,,0,#DIV/0!,#DIV/0!,No,FALSE,FALSE,TRUE,FALSE,FALSE,3,3,Phone,0,< 1 year
3115-CZMZD,Male,0,No,Yes,1,One Line,0,No Internet Service,2,2 Year,Mailed check,20.25,,0,#DIV/0!,#DIV/0!,No,FALSE,FALSE,TRUE,FALSE,FALSE,2,2,Phone,0,< 1 year
3213-VVOLG,Male,0,Yes,Yes,2,Two or More Lines,0,No Internet Service,2,2 Year,Mailed check,25.35,,0,#DIV/0!,#DIV/0!,No,FALSE,FALSE,TRUE,FALSE,FALSE,3,3,Phone,0,< 1 year
4075-WKNIU,Female,0,Yes,Yes,2,Two or More Lines,1,DSL,2,2 Year,Mailed check,73.35,,0,#DIV/0!,#DIV/0!,No,TRUE,FALSE,TRUE,TRUE,TRUE,3,3,Phone and Internet,0,< 1 year
4367-NUYAO,Male,0,Yes,Yes,2,Two or More Lines,0,No Internet Service,2,2 Year,Mailed check,25.75,,0,#DIV/0!,#DIV/0!,No,FALSE,FALSE,TRUE,FALSE,FALSE,3,3,Phone,0,< 1 year
4472-LVYGI,Female,0,Yes,Yes,0,No Phone Service,1,DSL,2,2 Year,Bank transfer (automatic),52.55,,0,#DIV/0!,#DIV/0!,No,TRUE,FALSE,FALSE,TRUE,FALSE,3,3,Internet,0,< 1 year
5709-LVOEQ,Female,0,Yes,Yes,1,One Line,1,DSL,2,2 Year,Mailed check,80.85,,0,#DIV/0!,#DIV/0!,No,TRUE,FALSE,TRUE,TRUE,TRUE,3,3,Phone and Internet,0,< 1 year
7644-OMVMY,Male,0,Yes,Yes,1,One Line,0,No Internet Service,2,2 Year,Mailed check,19.85,,0,#DIV/0!,#DIV/0!,No,FALSE,FALSE,TRUE,FALSE,FALSE,3,3,Phone,0,< 1 year
0002-ORFBO,Female,0,Yes,Yes,1,One Line,1,DSL,1,1 Year,Mailed check,65.6,593.3,9.044207317,65.6,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,3,3,Phone and Internet,9,< 1 year
0003-MKNFE,Male,0,No,No,2,Two or More Lines,1,DSL,0,Month-to-Month,Mailed check,59.9,542.4,9.05509182,59.9,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,Phone and Internet,9,< 1 year
0004-TLHLJ,Male,0,No,No,1,One Line,2,Fiber Optic,0,Month-to-Month,Electronic check,73.9,280.85,3.800405954,73.9,TRUE,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,0,0,Phone and Internet,4,< 1 year
0011-IGKFF,Male,1,Yes,No,1,One Line,2,Fiber Optic,0,Month-to-Month,Electronic check,98,1237.85,12.63112245,98,TRUE,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,1,1,Phone and Internet,13,1 - 2 years
